Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
C,171,585,51,132,33,3,9,58,52,9,137,3,1,6,0,10,18,3,0,0.226,0.289,0.338,2010,FLO,0.627
1B,197,637,80,170,39,3,21,93,59,2,116,6,3,9,0,9,15,5,0,0.267,0.331,0.436,2010,FLO,0.767
2B,167,608,102,174,32,0,33,108,80,2,155,2,0,5,0,7,10,5,1,0.286,0.368,0.502,2010,FLO,0.87
3B,225,617,67,163,41,4,12,94,48,2,144,9,0,8,0,3,18,3,3,0.264,0.323,0.402,2010,FLO,0.7250000000000001
SS,171,639,104,185,33,4,21,83,73,12,119,8,1,6,0,10,14,35,10,0.29,0.366,0.452,2010,FLO,0.8180000000000001
LF,173,652,116,185,47,10,8,53,75,1,145,7,4,4,0,9,7,10,5,0.284,0.362,0.423,2010,FLO,0.7849999999999999
CF,179,632,91,156,19,4,15,58,50,4,169,6,1,2,0,9,10,20,2,0.247,0.307,0.361,2010,FLO,0.6679999999999999
RF,174,598,75,148,34,4,26,90,49,10,181,10,0,2,0,6,10,7,3,0.247,0.314,0.448,2010,FLO,0.762
C,186,580,54,133,22,1,21,70,62,9,148,7,5,0,0,7,13,0,1,0.229,0.311,0.379,2011,FLO,0.69
1B,172,618,78,163,34,0,24,89,71,3,108,6,2,7,0,7,20,2,1,0.264,0.342,0.435,2011,FLO,0.777
2B,175,654,63,180,30,8,8,54,40,1,83,3,18,9,0,14,14,5,3,0.275,0.316,0.382,2011,FLO,0.698
3B,211,622,67,162,36,0,6,44,45,4,130,5,5,2,0,8,14,17,3,0.26,0.315,0.347,2011,FLO,0.6619999999999999
SS,177,635,85,164,31,5,14,73,70,5,133,3,8,5,0,5,8,35,14,0.258,0.332,0.389,2011,FLO,0.7210000000000001
LF,196,631,73,154,30,9,26,82,68,3,134,6,0,6,0,8,10,5,2,0.244,0.321,0.444,2011,FLO,0.765
CF,194,628,72,150,41,1,14,54,66,3,146,8,6,5,0,4,10,15,9,0.239,0.317,0.374,2011,FLO,0.6910000000000001
RF,186,601,85,156,32,6,34,90,76,8,189,10,2,6,0,6,10,10,7,0.26,0.349,0.502,2011,FLO,0.851
C,190,551,43,121,22,1,9,39,35,3,122,3,3,1,0,6,13,0,0,0.22,0.269,0.312,2010,HOU,0.581
1B,182,585,68,141,30,2,19,80,72,7,127,8,0,0,0,9,18,3,2,0.241,0.332,0.397,2010,HOU,0.7290000000000001
2B,175,624,66,157,35,1,7,59,56,1,57,2,7,4,0,5,18,5,2,0.252,0.313,0.345,2010,HOU,0.6579999999999999
3B,169,616,58,163,31,3,14,80,25,3,126,3,0,9,0,13,16,4,1,0.265,0.292,0.393,2010,HOU,0.685
SS,183,585,63,152,22,4,2,54,40,3,127,6,11,3,0,11,13,1,2,0.26,0.312,0.321,2010,HOU,0.633
LF,219,637,69,158,36,2,22,81,45,2,79,5,0,4,0,4,22,6,3,0.248,0.301,0.414,2010,HOU,0.715
CF,177,650,95,164,27,7,3,43,68,5,127,3,6,2,0,9,12,59,15,0.252,0.325,0.329,2010,HOU,0.654
RF,166,639,96,180,30,3,26,93,43,2,110,0,0,3,0,9,13,18,9,0.282,0.326,0.46,2010,HOU,0.786
C,180,560,41,118,27,2,5,47,30,8,132,7,5,6,0,11,18,1,0,0.211,0.257,0.293,2011,HOU,0.55
1B,188,598,66,164,41,0,16,83,69,8,112,5,1,5,1,7,13,2,2,0.274,0.352,0.423,2011,HOU,0.7749999999999999
2B,185,660,80,169,33,4,9,59,31,1,122,5,7,5,1,8,12,8,5,0.256,0.292,0.359,2011,HOU,0.651
3B,178,629,59,163,38,5,11,68,31,3,157,8,2,5,0,6,6,7,6,0.259,0.3,0.388,2011,HOU,0.688
SS,170,613,69,152,33,0,13,58,49,2,112,9,8,4,0,5,13,4,1,0.248,0.311,0.365,2011,HOU,0.6759999999999999
LF,210,650,78,180,39,4,15,88,47,5,106,4,2,4,0,8,19,16,5,0.277,0.328,0.418,2011,HOU,0.746
CF,176,683,100,190,33,9,3,46,57,3,131,4,4,2,0,6,7,58,8,0.278,0.336,0.366,2011,HOU,0.702
RF,190,646,73,193,43,4,16,80,50,2,126,2,2,4,0,14,16,14,4,0.299,0.349,0.452,2011,HOU,0.8009999999999999
C,175,540,57,121,24,2,17,63,66,5,146,6,3,5,0,8,14,0,1,0.224,0.313,0.37,2012,HOU,0.683
1B,188,631,63,163,32,2,20,68,43,2,119,11,1,3,0,5,14,1,3,0.258,0.315,0.41,2012,HOU,0.725
2B,176,659,88,188,41,5,9,42,43,0,101,8,4,4,0,14,10,33,12,0.285,0.335,0.404,2012,HOU,0.7390000000000001
3B,199,629,69,168,28,6,20,76,36,4,148,7,1,2,0,6,20,4,2,0.267,0.313,0.426,2012,HOU,0.739
SS,181,618,76,150,31,0,25,63,57,0,126,3,2,3,0,11,10,7,5,0.243,0.308,0.414,2012,HOU,0.722
LF,205,612,56,139,24,4,21,82,56,1,158,6,0,3,1,6,20,3,5,0.227,0.297,0.382,2012,HOU,0.679
CF,198,597,68,125,17,4,13,59,62,3,197,7,7,3,1,12,8,33,13,0.209,0.29,0.317,2012,HOU,0.607
RF,221,592,63,132,26,4,13,51,62,1,167,8,0,4,0,9,9,16,4,0.223,0.303,0.346,2012,HOU,0.649
C,187,542,59,120,27,3,20,68,34,0,162,7,5,4,0,6,14,6,1,0.221,0.274,0.393,2010,ANA,0.667
1B,184,601,82,152,27,0,29,96,44,6,125,10,0,4,0,5,15,3,2,0.253,0.313,0.443,2010,ANA,0.756
2B,170,646,67,177,40,5,8,75,35,1,95,6,5,5,0,7,14,18,6,0.274,0.315,0.389,2010,ANA,0.704
3B,182,600,67,134,26,0,8,52,33,1,79,3,7,3,0,10,14,7,3,0.223,0.266,0.307,2010,ANA,0.573
SS,168,631,78,151,21,4,6,35,39,1,108,8,15,2,0,11,8,21,8,0.239,0.291,0.314,2010,ANA,0.605
LF,201,597,86,160,37,0,24,81,59,5,107,5,0,3,1,8,9,12,8,0.268,0.337,0.451,2010,ANA,0.788
CF,181,597,84,158,32,4,22,84,59,5,118,7,5,6,0,16,13,18,13,0.265,0.335,0.442,2010,ANA,0.777
RF,180,623,84,168,39,2,21,88,78,2,122,3,0,4,0,7,19,17,9,0.27,0.352,0.44,2010,ANA,0.792
DH,177,552,54,128,27,1,17,72,71,4,120,1,2,5,3,8,14,0,2,0.232,0.318,0.377,2010,ANA,0.6950000000000001
C,194,516,37,99,27,0,10,48,40,5,125,3,20,4,0,8,6,1,4,0.192,0.252,0.302,2011,ANA,0.554
1B,192,612,74,160,35,1,32,96,28,6,135,6,1,3,0,6,20,10,4,0.261,0.299,0.479,2011,ANA,0.778
2B,173,641,92,177,37,7,16,71,47,3,125,8,4,4,0,4,16,17,7,0.276,0.331,0.431,2011,ANA,0.762
3B,173,612,69,174,37,0,7,55,63,11,69,5,0,3,0,6,14,10,1,0.284,0.354,0.379,2011,ANA,0.733
SS,171,638,84,180,41,8,12,67,38,1,86,8,11,3,0,12,15,32,8,0.282,0.329,0.428,2011,ANA,0.757
LF,192,625,71,141,29,3,27,86,36,2,117,5,2,4,0,13,7,12,5,0.226,0.272,0.411,2011,ANA,0.683
CF,173,587,82,151,29,11,13,48,35,0,145,10,7,1,0,10,10,24,10,0.257,0.31,0.411,2011,ANA,0.721
RF,183,627,80,162,27,1,22,78,60,2,134,5,0,4,0,8,22,9,6,0.258,0.326,0.41,2011,ANA,0.736
DH,165,561,68,135,25,3,14,70,86,3,121,1,1,4,0,4,15,19,7,0.241,0.34,0.371,2011,ANA,0.7110000000000001
C,195,488,59,110,12,1,15,44,53,0,115,5,15,3,0,5,13,1,3,0.225,0.306,0.346,2012,ANA,0.6519999999999999
1B,175,643,91,185,43,1,36,113,58,15,103,6,0,6,0,4,18,9,2,0.288,0.349,0.526,2012,ANA,0.875
2B,173,618,64,178,34,3,9,71,39,1,119,4,7,5,0,12,28,20,6,0.288,0.332,0.396,2012,ANA,0.728
3B,173,592,68,147,29,0,9,54,64,1,78,1,4,4,0,9,10,7,4,0.248,0.321,0.343,2012,ANA,0.664
SS,174,615,82,180,34,5,9,54,31,1,76,6,9,2,1,11,15,28,5,0.293,0.332,0.408,2012,ANA,0.74
LF,216,627,92,156,28,2,35,102,48,5,141,4,1,6,0,5,12,12,6,0.249,0.304,0.467,2012,ANA,0.771
CF,206,606,116,177,24,6,24,79,68,2,158,6,6,8,0,8,10,44,5,0.292,0.365,0.47,2012,ANA,0.835
RF,190,656,93,204,33,2,21,107,46,2,158,9,1,4,0,0,14,9,2,0.311,0.362,0.463,2012,ANA,0.825
DH,166,604,79,166,33,2,27,91,37,2,139,6,0,2,0,11,17,3,0,0.275,0.322,0.47,2012,ANA,0.792
C,185,524,59,124,28,1,16,55,81,4,150,5,0,5,0,5,13,0,2,0.237,0.341,0.385,2013,ANA,0.726
1B,180,635,90,148,26,2,35,111,56,6,165,2,1,10,0,13,19,6,2,0.233,0.293,0.446,2013,ANA,0.739
2B,179,617,72,182,28,5,14,69,37,5,132,7,4,4,0,9,19,7,3,0.295,0.34,0.425,2013,ANA,0.765
3B,176,585,65,144,23,2,8,67,48,2,108,4,6,8,0,5,11,2,5,0.246,0.304,0.333,2013,ANA,0.637
SS,182,646,79,170,36,5,9,61,25,1,81,5,10,6,0,6,18,12,8,0.263,0.293,0.376,2013,ANA,0.669
LF,203,643,85,177,32,5,11,71,56,2,106,1,6,9,0,9,16,19,5,0.275,0.33,0.392,2013,ANA,0.722
CF,177,615,109,196,35,12,25,94,83,7,142,15,5,6,0,9,12,27,6,0.319,0.409,0.537,2013,ANA,0.946
RF,188,631,85,159,31,5,24,82,56,1,164,5,2,12,0,5,14,5,3,0.252,0.313,0.431,2013,ANA,0.744
